,Repository Name,Owner,Description,URL,Programming Language,Creation Date,Last Updated Date,Number of Stars,Number of Forks,Number of Open Issues,License Type,Repository Age (days),Created Year
44,homemade-machine-learning,trekhleb,🤖 python examples of popular machine learning algorithms with interactive jupyter demos and math being explained,https://api.github.com/repos/trekhleb/homemade-machine-learning,Jupyter Notebook,2018-11-01 04:34:19+00:00,2024-10-05 07:33:23+00:00,22988,4055,24,User,2165,2018
45,shap,shap,a game theoretic approach to explain the output of any machine learning model.,https://api.github.com/repos/shap/shap,Jupyter Notebook,2016-11-22 19:17:08+00:00,2024-10-04 20:27:04+00:00,22615,3258,786,Organization,2873,2016
46,Paddle,paddlepaddle,parallel distributed deep learning: machine learning framework from industrial practice （『飞桨』核心框架，深度学习&机器学习高性能单机、分布式训练和跨平台部署）,https://api.github.com/repos/PaddlePaddle/Paddle,C++,2016-08-15 06:59:08+00:00,2024-10-05 05:53:07+00:00,22125,5553,1739,Organization,2973,2016
47,500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,ashishpatel26,500 ai machine learning deep learning computer vision nlp projects with code,https://api.github.com/repos/ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,Python,2021-01-02 12:08:37+00:00,2024-10-05 07:38:44+00:00,19859,5072,41,User,1371,2021
48,C,thealgorithms,"collection of various algorithms in mathematics, machine learning, computer science, physics, etc implemented in c for educational purposes.",https://api.github.com/repos/TheAlgorithms/C,C,2016-07-16 10:17:03+00:00,2024-10-05 08:19:27+00:00,18990,4321,30,Organization,3002,2016
49,rasa,rasahq,"💬   open source machine learning framework to automate text- and voice-based conversations: nlu, dialogue management, connect to slack, facebook, and more - create chatbots and voice assistants",https://api.github.com/repos/RasaHQ/rasa,Python,2016-10-14 12:27:49+00:00,2024-10-05 07:45:17+00:00,18723,4611,124,Organization,2912,2016
50,mlflow,mlflow,open source platform for the machine learning lifecycle,https://api.github.com/repos/mlflow/mlflow,Python,2018-06-05 16:05:58+00:00,2024-10-05 04:13:14+00:00,18436,4172,1605,Organization,2313,2018
51,onnx,onnx,open standard for machine learning interoperability,https://api.github.com/repos/onnx/onnx,Python,2017-09-07 04:53:45+00:00,2024-10-05 04:06:53+00:00,17723,3657,342,Organization,2585,2017
52,stanford-cs-229-machine-learning,afshinea,vip cheatsheets for stanford's cs 229 machine learning,https://api.github.com/repos/afshinea/stanford-cs-229-machine-learning,Python,2018-08-04 23:01:00+00:00,2024-10-05 04:05:46+00:00,17554,3943,18,User,2253,2018
53,awesome-production-machine-learning,ethicalml,"a curated list of awesome open source libraries to deploy, monitor, version and scale your machine learning",https://api.github.com/repos/EthicalML/awesome-production-machine-learning,Python,2018-08-15 14:28:41+00:00,2024-10-05 04:01:08+00:00,17405,2227,7,Organization,2242,2018
